FirstName,LastName,Tasks Assigned,Tasks Completed,Errors,Tasks Completed On Time,Department
Amit,Sharma,25,22,1,20,Front Office
Rahul,Verma,18,15,0,15,Housekeeping
Priya,Iyer,30,5,2,1,Food & Beverage
Vikram,Reddy,22,7,1,4,Kitchen & Culinary
Sanjay,Patel,28,25,0,25,Security
Neha,Kapoor,20,17,2,15,Sales & Marketing
Rohan,Malhotra,32,22,1,20,Finance & Accounts
Anjali,Deshmukh,15,13,0,13,Front Office
Arjun,Mehta,27,16,3,7,Housekeeping
Kavita,Singh,21,18,1,17,Food & Beverage
Lucas,Hernandez,35,22,2,10,Kitchen & Culinary
Charlotte,Lopez,19,6,4,2,Security
Henry,Gonzalez,23,4,2,2,Sales & Marketing
Amelia,Wilson,17,14,0,14,Finance & Accounts
Alexander,Anderson,31,27,2,25,Front Office
Harper,Thomas,26,23,1,22,Housekeeping
Mason,Taylor,29,26,0,26,Food & Beverage
Abigail,Moore,16,5,3,2,Kitchen & Culinary
Elijah,Jackson,24,21,1,20,Security
Emily,Martin,20,11,2,6,Sales & Marketing
Ethan,Lee,33,30,2,28,Finance & Accounts
Elizabeth,Perez,18,15,1,14,Front Office
Aiden,Thompson,27,10,2,2,Housekeeping
Sofia,White,21,10,2,8,Food & Beverage
Jackson,Harris,30,26,1,25,Kitchen & Culinary
Scarlett,Sanchez,14,12,0,12,Security
Daniel,Clark,25,22,3,19,Sales & Marketing
Victoria,Lewis,17,5,1,2,Finance & Accounts
David,Robinson,34,13,3,6,Front Office
Madison,Hall,22,15,2,10,Housekeeping
Samuel,Walker,28,25,1,24,Food & Beverage
Chloe,Allen,19,16,0,16,Kitchen & Culinary
Anthony,Young,31,28,3,25,Security
Penelope,King,16,14,1,13,Sales & Marketing
Joseph,Wright,26,23,0,23,Finance & Accounts
Eleanor,Scott,20,17,2,15,Front Office
Michael,Green,33,29,1,28,Housekeeping
Nora,Baker,15,13,0,13,Food & Beverage
Christopher,Adams,29,9,3,4,Kitchen & Culinary
Aubrey,Nelson,23,20,1,19,Security
Andrew,Carter,36,32,0,32,Sales & Marketing
Evelyn,Mitchell,18,16,2,14,Finance & Accounts
Joshua,Phillips,27,24,1,23,Front Office
Ellie,Perez,21,18,0,18,Housekeeping
Matthew,Campbell,30,27,3,24,Food & Beverage
Avery,Roberts,14,12,1,11,Kitchen & Culinary
Ryan,Parker,24,21,0,21,Security
Grace,Turner,17,13,5,6,Sales & Marketing
Caleb,Evans,32,28,1,27,Finance & Accounts
Lily,Edwards,25,22,0,22,Front Office
